molecule_chembl_id,canonical_smiles,reason,split
CHEMBL3953259,CC(CCO)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3934521,C[C@@H](CO)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3962015,C[C@H](CO)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3943495,CC[C@H](C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3890544,CC[C@@H](C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3952214,CC(C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5821268,Cc1cnc(C(=O)Nc2cccc(-n3nnnc3C(C)C)n2)cc1-c1cn(C(C)C)cn1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5806381,CC(C)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)C2CCCC2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5824876,C[C@H](CO)n1nnnc1-c1cccc(NC(=O)c2cc3c(cn2)CCN(C(=O)C2CCCC2)C3)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6036471,O=C(c1ccc2c(c1)CN(c1cccc(-c3nncn3C3CC3)n1)C2=O)N1CCCCC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5922450,O=C(c1ccc2c(c1)CN(c1cccc(-c3nncn3C3CC3)n1)C2=O)N1CCC(O)CC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5869695,CC1(O)CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5892002,COC1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5937679,CN(C)C1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5910444,CC(=O)NC1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5833258,COC(=O)C1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5835470,CSC1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL6008706,O=C(c1cc2c(cc1Cl)C(=O)N(c1cccc(-c3nncn3C3CC3)n1)C2)N1CCCCC1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5868427,Cc1cc(F)c(C(=O)Nc2cccc(-n3nnnc3C(C)C)n2)cc1-c1cnn(C2CC2)c1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL5825451,COc1cc(C)c(-c2cnn(C3CC3)c2)cc1C(=O)Nc1cccc(-n2nnnc2C(C)C)n1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3683267,O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCCC2)cn1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3683268,O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCC(O)C2)cn1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3895494,COC1CCN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)C1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3683260,CC1(O)CN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)C1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3683264,O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCC2)cn1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3908126,O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CC(C(F)F)C2)cn1,>2 rings causes RDKit C++ hang - bypassed,train
CHEMBL3975211,N#CC1CN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)C1,>2 rings causes RDKit C++ hang - bypassed,train
